domain	type	auto_value	value
everydaydiabeticrecipes.com	DP14	unconfirmed	False
everydaydiabeticrecipes.com	DP15	unconfirmed	False
chile.gob.cl	no cookie dialog	True	True
golf-alcanada.com	DP1	True	True
golf-alcanada.com	DP2	False	False
golf-alcanada.com	DP3	False	False
golf-alcanada.com	DP4	False	False
golf-alcanada.com	DP5	False	False
golf-alcanada.com	DP6	False	False
golf-alcanada.com	DP7	False	False
golf-alcanada.com	DP8	False	False
golf-alcanada.com	time to reject cookies manually	3.18295810000018	3.18295810000018
golf-alcanada.com	number of clicks to reject cookies	0	0
golf-alcanada.com	DP10	unconfirmed	True
golf-alcanada.com	DP12	unconfirmed	False
golf-alcanada.com	DP13	unconfirmed	False
golf-alcanada.com	DP14	unconfirmed	False
golf-alcanada.com	DP15	unconfirmed	False
